+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                    ;
+----------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; u_cmsdk_uart_capture                                                                                     ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_clkreset                                                                                         ; 0     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_pin_mux                                                                                    ; 109   ; 0              ; 29           ; 0              ; 42     ; 0               ; 0             ; 0               ; 33    ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_ahb_ram|u_ahb_ram_beh                                                                      ; 56    ; 1              ; 1            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_ahb_ram                                                                                    ; 56    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_ahb_rom|u_ahb_ram_beh                                                                      ; 56    ; 34             ; 1            ; 34             ; 34     ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_ahb_rom                                                                                    ; 56    ; 0              ; 33           ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cmsdk_mcu_stclkctrl                                                     ; 2     ; 26             ; 0            ; 26             ; 27     ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_test_slave.u_apb_test_slave                       ; 51    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_uart_2.u_apb_uart_2                               ; 53    ; 45             ; 49           ; 45             ; 41     ; 45              ; 45            ; 45              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_uart_1.u_apb_uart_1                               ; 53    ; 45             ; 49           ; 45             ; 41     ; 45              ; 45            ; 45              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_uart_0.u_apb_uart_0                               ; 53    ; 45             ; 49           ; 45             ; 41     ; 45              ; 45            ; 45              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_watchdog.u_apb_watchdog|u_apb_watchdog_frc        ; 44    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_watchdog.u_apb_watchdog                           ; 54    ; 5              ; 0            ; 5              ; 34     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_dualtimers_2.u_apb_dualtimers_2|u_apb_timer_frc_2 ; 42    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_dualtimers_2.u_apb_dualtimers_2|u_apb_timer_frc_1 ; 42    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_dualtimers_2.u_apb_dualtimers_2                   ; 54    ; 6              ; 0            ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_timer_1.u_apb_timer_1                             ; 53    ; 6              ; 0            ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|gen_apb_timer_0.u_apb_timer_0                             ; 53    ; 6              ; 0            ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|u_apb_slave_mux                                           ; 549   ; 148            ; 136          ; 148            ; 50     ; 148             ; 148           ; 148             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem|u_ahb_to_apb                                              ; 97    ; 3              ; 4            ; 3              ; 93     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_apb_subsystem                                                           ; 207   ; 156            ; 0            ; 156            ; 121    ; 156             ; 156           ; 156             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_gpio_1|u_iop_gpio                                                   ; 72    ; 29             ; 16           ; 29             ; 97     ; 29              ; 29            ; 29              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_gpio_1|u_ahb_to_gpio                                                ; 86    ; 2              ; 2            ; 2              ; 83     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_gpio_1                                                              ; 75    ; 4              ; 0            ; 4              ; 83     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_gpio_0|u_iop_gpio                                                   ; 72    ; 32             ; 16           ; 32             ; 97     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_gpio_0|u_ahb_to_gpio                                                ; 86    ; 2              ; 2            ; 2              ; 83     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_gpio_0                                                              ; 75    ; 4              ; 0            ; 4              ; 99     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cmsdk_mcu_sysctrl                                                       ; 63    ; 31             ; 31           ; 31             ; 37     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_system_rom_table                                                        ; 85    ; 17             ; 67           ; 17             ; 34     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_default_slave_1                                                     ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_ahb_slave_mux_sys_bus                                                   ; 353   ; 66             ; 36           ; 66             ; 34     ; 66              ; 66            ; 66              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_addr_decode                                                             ; 33    ; 4              ; 13           ; 4              ; 12     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cortexm0integration|u_wic                                               ; 74    ; 108            ; 37           ; 108            ; 71     ; 108             ; 108           ; 108             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cortexm0integration|u_dap                                               ; 84    ; 106            ; 52           ; 106            ; 74     ; 106             ; 106           ; 106             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cortexm0integration|u_cortexm0|u_logic                                  ; 97    ; 7              ; 0            ; 7              ; 634    ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cortexm0integration|u_cortexm0                                          ; 97    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cortexm0integration|u_dpreset_sync                                      ; 4     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system|u_cortexm0integration                                                     ; 145   ; 50             ; 1            ; 50             ; 120    ; 50              ; 50            ; 50              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_system                                                                           ; 149   ; 35             ; 0            ; 35             ; 183    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu|u_cmsdk_mcu_clkctrl                                                                          ; 11    ; 2              ; 3            ; 2              ; 8      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_cmsdk_mcu                                                                                              ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 33    ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
